,证券代码,证券简称,"任职期限最长的现任基金经理
[名次] 第1名","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第1名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第1名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第2名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第2名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第3名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第3名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第4名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第4名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第5名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第5名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第6名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第6名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第7名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第7名
[单位] %↓","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第8名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第8名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第9名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第9名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第10名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第10名
[单位] %"
61,000913.OF,农银汇理医疗保健主题,赵伟,江苏省,8.9225,浙江省,8.6594,河南省,8.3982,湖南省,8.2776,浙江省,6.4232,北京,5.8870000000000005,江苏省,5.6113,江苏省,5.0794,浙江省,4.8826,江苏省,4.695
62,004683.OF,建信高端医疗,潘龙玲,江苏省,9.3663,云南省,7.3841,江苏省,6.6885,广东省,6.6653,江苏省,6.571000000000001,浙江省,5.9157,天津,5.5916,广东省,5.2489,浙江省,4.2648,山东省,4.1819
63,005402.OF,广发资源优选,孙迪,山东省,8.874,广东省,8.285,广东省,7.3219,福建省,7.242999999999999,山东省,7.235,山东省,6.0505,江苏省,5.4578,浙江省,5.2697,福建省,4.6466,湖北省,4.1715
64,001313.OF,上投摩根智慧互联,郭晨,北京,6.795,吉林省,6.4539,广东省,6.1359,江苏省,6.0735,山东省,5.7695,广东省,5.7506,上海,5.4309,山东省,3.8012,安徽省,3.4584,广东省,3.2787
65,001230.OF,鹏华医药科技,金笑非,江苏省,11.2936,吉林省,11.0071,广东省,10.6812,江苏省,10.4391,湖南省,10.0536,江苏省,5.5903,广东省,5.3888,浙江省,4.9544,浙江省,4.1688,浙江省,3.7211
66,000586.OF,景顺长城中小板创业板,李孟海,山东省,9.1486,北京,9.137,广东省,5.9777,浙江省,5.8482,广东省,5.834,江苏省,5.6416,北京,5.3409,山东省,5.1951,湖北省,4.4059,浙江省,4.3368
67,006002.OF,工银瑞信医药健康A,谭冬寒,吉林省,10.645,广东省,10.1365,江苏省,9.7542,北京,8.0459,广东省,6.1532,北京,5.3682,四川省,5.287999999999999,湖南省,4.8172,海南省,4.676,浙江省,3.9101
68,006604.OF,嘉实消费精选A,吴越,四川省,11.4166,四川省,11.2309,贵州省,11.1103,广东省,10.7682,广东省,6.9737,,6.7009,内蒙古自治区,5.2865,广东省,4.524,江苏省,4.3645,北京,4.0707
69,000925.OF,汇添富外延增长主题,王栩,广东省,6.849,北京,6.4845,江苏省,6.4595,广东省,5.5489999999999995,贵州省,5.4337,江苏省,5.3844,广东省,5.2761,浙江省,4.4643,广东省,4.0745,广东省,3.7685
70,005259.OF,建信龙头企业,姚锦,广东省,7.4304,福建省,7.0102,广东省,6.8777,广东省,6.6344,吉林省,6.314,浙江省,6.107,江苏省,5.2441,福建省,5.0023,四川省,4.315,浙江省,4.2629
71,000884.OF,民生加银优选,高松,广东省,7.8203,河南省,7.3111,吉林省,7.2151,广东省,5.8381,安徽省,5.71,四川省,5.353,江苏省,5.2095,江西省,4.5596,广东省,4.2447,广东省,3.9603
72,003834.OF,华夏能源革新,郑泽鸿,浙江省,8.5181,福建省,7.5355,江西省,7.244,四川省,6.0055,广东省,5.8432,江苏省,5.6336,河南省,5.2028,浙江省,5.1751,江苏省,5.0044,浙江省,4.4491
73,001719.OF,工银瑞信国家战略主题,陈小鹭,广东省,9.6591,江苏省,9.4233,北京,8.5818,北京,5.3647,上海,5.3584,浙江省,5.3043,上海,5.1611,安徽省,5.1544,上海,5.1122,山东省,4.2972
74,007130.OF,中庚小盘价值,丘栋荣,广西壮族自治区,9.26,北京,6.8482,福建省,6.8149,黑龙江省,6.6052,安徽省,5.6947,安徽省,5.2807,山东省,5.1513,福建省,4.9531,浙江省,3.2948,广东省,2.8939
75,001040.OF,新华策略精选,赵强,浙江省,7.7528,广东省,6.0313,重庆,5.6678,山东省,5.5299,广东省,5.3187,安徽省,5.2911,江苏省,5.1512,浙江省,3.9797,广东省,3.9223,广东省,3.7534
76,005826.OF,华夏潜龙精选,潘中宁,广东省,10.5454,贵州省,10.0121,四川省,9.5685,广东省,7.6139,北京,7.1824,北京,6.6359,北京,5.1402,北京,3.9521,安徽省,3.5854,,3.5324
77,001616.OF,嘉实环保低碳,姚志鹏,福建省,9.6356,安徽省,8.0903,陕西省,7.7569,四川省,6.7276,上海,5.7837,江苏省,5.7311,广东省,5.1371,广东省,4.9707,江苏省,4.5109,安徽省,3.9881
78,005612.OF,嘉实核心优势,胡宇飞,广东省,10.6899,广东省,10.6666,广东省,8.6707,贵州省,7.1604,广东省,6.1419,广东省,5.6605,江苏省,5.1312,广东省,3.5514,广东省,3.4152,香港特别行政区,3.2865
79,006138.OF,国联安价值优选,邹新进,北京,7.7957,广东省,7.7745,广东省,6.933,江苏省,6.898,福建省,6.5199,上海,5.9074,上海,5.1101,山东省,4.982,北京,4.8705,江苏省,4.8348
80,006081.OF,海富通电子信息传媒产业A,施敏佳,广东省,6.4342,北京,6.0661,广东省,5.5121,北京,5.4898,福建省,5.309,广东省,5.1343,上海,5.0665,湖南省,5.0527,北京,5.0387,上海,4.7831
81,003956.OF,南方现代教育,萧嘉倩,北京,8.5943,北京,7.2492,安徽省,5.2837,北京,5.215,山东省,5.1394,浙江省,5.1125,北京,5.0372,广东省,4.959,山东省,4.8738,广西壮族自治区,4.8178
82,001473.OF,建信大安全,王东杰,江苏省,9.5347,广东省,8.4807,四川省,7.1125,贵州省,6.8221,广东省,5.9443,河北省,5.8429,福建省,5.0314,江苏省,5.0092,吉林省,4.9096,广东省,4.2001
83,004805.OF,长信消费精选行业量化,左金保,广东省,8.2703,江苏省,5.8986,安徽省,5.834,四川省,5.4237,重庆,5.3288,广东省,5.0668,广东省,5.022,吉林省,4.7966,四川省,4.4907,浙江省,4.4541
84,005310.OF,广发电子信息传媒产业精选,观富钦,广东省,8.462,广东省,6.7806,浙江省,5.6349,北京,5.5451,广东省,5.3281,山东省,5.3247,广东省,5.022,湖北省,4.6573,湖南省,3.9914,江苏省,3.9417
85,540008.OF,汇丰晋信低碳先锋,陆彬,江苏省,10.1236,广东省,9.7481,山西省,9.5625,辽宁省,6.324,福建省,5.6976,四川省,5.6562,上海,5.0123,浙江省,4.6863,江苏省,4.3923,浙江省,4.279
86,450009.OF,国富中小盘,赵晓东,山东省,7.4353,江苏省,7.2816,湖北省,6.8961,江苏省,6.5986,广东省,5.9378,福建省,5.1351,浙江省,5.0099,内蒙古自治区,4.7307,山东省,4.4208,江苏省,3.615
87,004616.OF,中欧电子信息产业A,刘晨,上海,8.4941,安徽省,5.4229,北京,5.2829,浙江省,5.2686,广东省,5.1333,北京,5.1085,浙江省,4.9772,广东省,4.7876,北京,4.3118,广东省,4.291
88,001651.OF,工银瑞信新蓝筹,王筱苓,广东省,8.0378,广东省,6.8467,贵州省,6.726,浙江省,6.5513,河南省,5.1221,山东省,5.0249,广东省,4.9763,广东省,4.9112,四川省,4.3235,江苏省,3.8307
89,160919.OF,大成产业升级,李林益,湖南省,8.8828,福建省,6.0551,山东省,5.7196,山东省,5.4345,安徽省,5.4176,广东省,5.2113,浙江省,4.9651,河南省,4.5479,北京,4.4049,陕西省,4.3596
90,005328.OF,前海开源价值策略,肖立强,广东省,7.1149,广东省,6.7688,广东省,6.3444,江苏省,5.8092,广东省,5.5332,广东省,5.0796,福建省,4.9645,广东省,4.8113,上海,4.749,北京,4.6159
91,005825.OF,申万菱信智能驱动,张朋,广东省,8.3565,浙江省,7.3709,安徽省,6.0097,江苏省,5.335,辽宁省,5.0395,浙江省,4.9808,湖南省,4.9601,浙江省,4.917,江苏省,4.8433,贵州省,4.7539
92,001521.OF,国寿安保成长优选,张琦,广东省,8.6273,山东省,7.0286,广东省,6.7845,广东省,6.6508,北京,5.6466,上海,5.4068,湖北省,4.9593,北京,4.7285,广东省,4.3067,广东省,3.7218
93,001692.OF,南方国策动力,罗安安,广东省,8.1193,江苏省,7.3054,浙江省,5.9558,广东省,5.4119,江苏省,5.1024,广东省,4.9769,北京,4.9491,吉林省,4.7535,四川省,4.6987,贵州省,4.4885
94,001790.OF,国泰智能汽车,周伟锋,湖北省,9.5131,四川省,9.4668,浙江省,9.4071,浙江省,6.4802,江苏省,6.2125,福建省,6.1812,广东省,4.9241,上海,4.5837,广东省,4.3034,湖南省,4.1838
95,001528.OF,诺安先进制造,韩冬燕,北京,9.9786,内蒙古自治区,8.3567,浙江省,5.3632,云南省,5.3004,浙江省,5.0325,北京,4.9961,北京,4.9235,山东省,4.8714,河南省,4.813,陕西省,4.7928
96,003053.OF,嘉实文体娱乐A,王凯,广东省,9.4364,北京,8.3806,北京,7.454,安徽省,7.3016,广东省,5.5513,北京,4.9855,北京,4.8936,广东省,4.792,广东省,4.4966,浙江省,4.4752
97,001764.OF,广发沪港深新机遇,余昊,山东省,11.409,广东省,8.5135,山东省,7.2605,广东省,6.3006,北京,5.3415,福建省,5.2851,上海,4.8935,浙江省,3.8843,北京,3.844,山东省,3.7026
98,001781.OF,建信现代服务业,陶灿,贵州省,7.0686,江苏省,6.8364,广东省,6.6016,辽宁省,6.4315,浙江省,6.1188,北京,4.9641,福建省,4.8741,江苏省,4.3489,江苏省,4.2151,江苏省,4.0986
99,001749.OF,招商中国机遇,李亚,北京,7.8673,北京,6.1336,北京,5.8129,北京,5.1117,广东省,5.0818,北京,4.9886,广东省,4.8711,重庆,4.7236,浙江省,4.6843,福建省,4.1915
100,005660.OF,嘉实资源精选A,吴云峰,山东省,9.2994,甘肃省,7.7627,山东省,7.233,福建省,6.8583,江苏省,6.2472,山东省,6.0367,天津,4.863,山东省,4.4867,福建省,4.4756,山东省,3.7539999999999996
101,005235.OF,银华食品饮料A,马君,四川省,7.7892,江苏省,7.6079,四川省,7.57,贵州省,7.4719,内蒙古自治区,7.2479,广东省,5.3265,山西省,4.8587,广东省,4.5748,安徽省,4.1754,江苏省,3.8204
102,000471.OF,富国城镇发展,蒲世林,广东省,7.2397,内蒙古自治区,5.9687,上海,5.7873,浙江省,5.3195,浙江省,4.954,山东省,4.9084,广东省,4.8062,山东省,4.3087,广东省,4.2728,北京,3.4643
103,006981.OF,中金新医药A,兰兰,吉林省,9.3638,江苏省,8.7647,海南省,7.6854,北京,6.2165,江苏省,5.3395,江苏省,5.3201,浙江省,4.7922,广东省,4.7399,浙江省,4.4688,广东省,4.3507
104,519193.OF,万家消费成长,高源,上海,6.2799,上海,6.0487,广东省,6.0194,湖南省,5.7252,江苏省,5.3653,广东省,4.8188,山东省,4.7896,上海,4.7855,北京,4.6051,北京,4.441
105,005303.OF,嘉实医药健康A,颜媛,吉林省,8.8003,江苏省,8.7471,浙江省,7.8292,山东省,6.707999999999999,湖南省,5.63,江苏省,5.0591,山东省,4.7802,重庆,4.6751,浙江省,4.4333,广东省,4.1748
106,004075.OF,交银医药创新,楼慧源,江苏省,8.8251,江苏省,6.9471,山东省,6.8685,吉林省,6.2882,浙江省,5.7591,广东省,4.765,广东省,4.7495,浙江省,4.6833,湖南省,4.6314,江苏省,3.8482
