,coorporation,manager,code1,per1,code2,per2,code3,per3,code4,per4,code5,per5,code6,per6,code7,per7,code8,per8,code9,per9,code10,per10
12,安信基金管理有限责任公司,陈一峰 ,'603589.XSHG',0.0489,'601818.XSHG',0.043,'601288.XSHG',0.0891,'601166.XSHG',0.0297,'600612.XSHG',0.03,'600325.XSHG',0.049400000000000006,'600048.XSHG',0.0951,'600036.XSHG',0.0592,'002508.XSHE',0.0698,'603589.XSHG',0.014199999999999999
13,景顺长城基金管理有限公司,李孟海 ,'300747.XSHE',0.0349,'300699.XSHE',0.0431,'300673.XSHE',0.0588,'300630.XSHE',0.04650000000000001,'300523.XSHE',0.07150000000000001,'300482.XSHE',0.044199999999999996,'300114.XSHE',0.0625,'300065.XSHE',0.0604,'002933.XSHE',0.0305,'300747.XSHE',0.049
14,建信基金管理有限责任公司,陶灿 ,'603707.XSHG',0.0414,'603517.XSHG',0.036000000000000004,'601888.XSHG',0.0518,'600809.XSHG',0.0333,'600031.XSHG',0.037200000000000004,'002557.XSHE',0.034,'002463.XSHE',0.0349,'002384.XSHE',0.0326,'002157.XSHE',0.0337,'603707.XSHG',0.0601
15,摩根士丹利华鑫基金管理有限公司,朱睿 缪东航 ,'603369.XSHG',0.0325,'600529.XSHG',0.0329,'600466.XSHG',0.057800000000000004,'600031.XSHG',0.0387,'300408.XSHE',0.030699999999999998,'002677.XSHE',0.050199999999999995,'002271.XSHE',0.0395,'002230.XSHE',0.061200000000000004,'002081.XSHE',0.0393,'603369.XSHG',0.0308
16,大成基金管理有限公司,刘旭 ,'603337.XSHG',0.0694,'601166.XSHG',0.0482,'600887.XSHG',0.0761,'600872.XSHG',0.0678,'600741.XSHG',0.039900000000000005,'600519.XSHG',0.0797,'300144.XSHE',0.0717,'002223.XSHE',0.0421,'002126.XSHE',0.039599999999999996,'603337.XSHG',0.0444
17,景顺长城基金管理有限公司,徐喻军 ,'601818.XSHG',0.0271,'601318.XSHG',0.0464,'601229.XSHG',0.0184,'600897.XSHG',0.019299999999999998,'600606.XSHG',0.0192,'600585.XSHG',0.0174,'600566.XSHG',0.021099999999999997,'600031.XSHG',0.0264,'002092.XSHE',0.024700000000000003,'601818.XSHG',0.0183
18,汇添富基金管理股份有限公司,赵鹏程 ,'601688.XSHG',0.0292,'601222.XSHG',0.0924,'601088.XSHG',0.0333,'600406.XSHG',0.0358,'600030.XSHG',0.0281,'300012.XSHE',0.0349,'002672.XSHE',0.0276,'002466.XSHE',0.0378,'002074.XSHE',0.0305,'601688.XSHG',0.0371
19,汇添富基金管理股份有限公司,杨_ ,'600845.XSHG',0.0245,'600570.XSHG',0.0426,'600436.XSHG',0.0298,'600271.XSHG',0.0345,'300450.XSHE',0.037599999999999995,'300383.XSHE',0.0338,'300348.XSHE',0.0165,'300226.XSHE',0.0381,'300059.XSHE',0.0374,'600845.XSHG',0.0512
20,嘉实基金管理有限公司,齐海滔 ,'600867.XSHG',0.0805,'600529.XSHG',0.08800000000000001,'600380.XSHG',0.048499999999999995,'600276.XSHG',0.0776,'600196.XSHG',0.057,'300529.XSHE',0.0645,'300357.XSHE',0.06480000000000001,'000963.XSHE',0.0679,'000661.XSHE',0.0723,'600867.XSHG',0.0584
21,建信基金管理有限责任公司,许杰 ,'603496.XSHG',0.0331,'601966.XSHG',0.0365,'600970.XSHG',0.0318,'300316.XSHE',0.0405,'300274.XSHE',0.037200000000000004,'300134.XSHE',0.0334,'002920.XSHE',0.0385,'002632.XSHE',0.032,'002384.XSHE',0.0677,'603496.XSHG',0.0313
22,招商基金管理有限公司,贾成东 ,'603338.XSHG',0.046799999999999994,'601888.XSHG',0.05,'601012.XSHG',0.06849999999999999,'600519.XSHG',0.0507,'600030.XSHG',0.0496,'300601.XSHE',0.051100000000000007,'002714.XSHE',0.0593,'002475.XSHE',0.0519,'002124.XSHE',0.051699999999999996,'603338.XSHG',0.0738
23,嘉实基金管理有限公司,归凯 ,'601933.XSHG',0.0642,'601318.XSHG',0.034300000000000004,'600763.XSHG',0.0851,'300567.XSHE',0.0458,'300369.XSHE',0.0362,'300285.XSHE',0.0368,'300012.XSHE',0.0509,'002179.XSHE',0.0676,'000661.XSHE',0.08800000000000001,'601933.XSHG',0.0356
24,建信基金管理有限责任公司,许杰 ,'603666.XSHG',0.032799999999999996,'600970.XSHG',0.0316,'300316.XSHE',0.06269999999999999,'300285.XSHE',0.0311,'300274.XSHE',0.0275,'002920.XSHE',0.028300000000000002,'002643.XSHE',0.0361,'002632.XSHE',0.0277,'002384.XSHE',0.0579,'603666.XSHG',0.0265
25,国海富兰克林基金管理有限公司,王晓宁 ,'603899.XSHG',0.0401,'603711.XSHG',0.0472,'601688.XSHG',0.0464,'601166.XSHG',0.0358,'600271.XSHG',0.041299999999999996,'600036.XSHG',0.0669,'002415.XSHE',0.0346,'002304.XSHE',0.038599999999999995,'002202.XSHE',0.0512,'603899.XSHG',0.051500000000000004
26,鹏华基金管理有限公司,袁航 ,'601231.XSHG',0.0326,'600887.XSHG',0.0726,'600529.XSHG',0.0696,'600031.XSHG',0.0955,'300760.XSHE',0.06,'300558.XSHE',0.029300000000000003,'300003.XSHE',0.0754,'002727.XSHE',0.0629,'002013.XSHE',0.048499999999999995,'601231.XSHG',0.0387
27,鹏华基金管理有限公司,金笑非 郎超 ,'603716.XSHG',0.0466,'600763.XSHG',0.049,'600436.XSHG',0.045,'600276.XSHG',0.08900000000000001,'300760.XSHE',0.0689,'300451.XSHE',0.032799999999999996,'300414.XSHE',0.0286,'002675.XSHE',0.0458,'002390.XSHE',0.0336,'603716.XSHG',0.0363
28,工银瑞信基金管理有限公司,黄安乐 ,'601012.XSHG',0.0492,'600588.XSHG',0.0499,'600438.XSHG',0.0484,'300498.XSHE',0.08070000000000001,'300450.XSHE',0.0849,'300274.XSHE',0.0518,'300014.XSHE',0.0467,'002643.XSHE',0.0467,'002230.XSHE',0.0481,'601012.XSHG',0.0528
29,工银瑞信基金管理有限公司,宋炳_ ,'603986.XSHG',0.0253,'600588.XSHG',0.0245,'600570.XSHG',0.0323,'600372.XSHG',0.0246,'600030.XSHG',0.0541,'300059.XSHE',0.0265,'002371.XSHE',0.03,'002230.XSHE',0.0287,'002142.XSHE',0.033,'603986.XSHG',0.044500000000000005
30,泰达宏利基金管理有限公司,王鹏 ,'601012.XSHG',0.0326,'600570.XSHG',0.0409,'600438.XSHG',0.0325,'300498.XSHE',0.041100000000000005,'300122.XSHE',0.0414,'002567.XSHE',0.0408,'002384.XSHE',0.0322,'002157.XSHE',0.061399999999999996,'000858.XSHE',0.0454,'601012.XSHG',0.052300000000000006
31,工银瑞信基金管理有限公司,谭冬寒 赵蓓 ,'600763.XSHG',0.0409,'600276.XSHG',0.0973,'600055.XSHG',0.031,'300760.XSHE',0.058499999999999996,'300759.XSHE',0.0098,'300482.XSHE',0.050300000000000004,'300463.XSHE',0.044800000000000006,'300347.XSHE',0.0385,'300003.XSHE',0.09230000000000001,'600763.XSHG',0.048799999999999996
32,鹏华基金管理有限公司,王宗合 ,'603833.XSHG',0.0603,'603801.XSHG',0.038,'600809.XSHG',0.0452,'600779.XSHG',0.0834,'600519.XSHG',0.0998,'300015.XSHE',0.0695,'002304.XSHE',0.0723,'000858.XSHE',0.1041,'000596.XSHE',0.044800000000000006,'603833.XSHG',0.0748
33,华宝基金管理有限公司,贺_ ,'603799.XSHG',0.0345,'603283.XSHG',0.0176,'600873.XSHG',0.0302,'600352.XSHG',0.0473,'600299.XSHG',0.0323,'300618.XSHE',0.0338,'300567.XSHE',0.044000000000000004,'300438.XSHE',0.0329,'300115.XSHE',0.0393,'603799.XSHG',0.0301
34,华宝基金管理有限公司,光磊 ,'601318.XSHG',0.0365,'600547.XSHG',0.0356,'600519.XSHG',0.0548,'600036.XSHG',0.0331,'300383.XSHE',0.0354,'002821.XSHE',0.0335,'002737.XSHE',0.0473,'000858.XSHE',0.0509,'000661.XSHE',0.0673,'601318.XSHG',0.0332
35,民生加银基金管理有限公司,蒯学章 ,'603899.XSHG',0.0862,'601607.XSHG',0.0809,'600660.XSHG',0.0776,'600066.XSHG',0.054900000000000004,'002352.XSHE',0.054900000000000004,'002262.XSHE',0.0924,'000963.XSHE',0.060599999999999994,'000418.XSHE',0.0679,'000333.XSHE',0.061799999999999994,'603899.XSHG',0.06509999999999999
36,工银瑞信基金管理有限公司,杨鑫鑫 ,'601222.XSHG',0.0379,'600600.XSHG',0.0338,'600563.XSHG',0.040999999999999995,'600406.XSHG',0.04769999999999999,'600362.XSHG',0.0352,'600030.XSHG',0.0358,'002643.XSHE',0.0453,'002179.XSHE',0.0338,'000895.XSHE',0.0379,'601222.XSHG',0.054299999999999994
37,农银汇理基金管理有限公司,赵伟 ,'603658.XSHG',0.0431,'600763.XSHG',0.0805,'600436.XSHG',0.0407,'600276.XSHG',0.061,'600211.XSHG',0.0755,'300725.XSHE',0.0509,'300630.XSHE',0.0519,'300558.XSHE',0.0764,'300347.XSHE',0.08220000000000001,'603658.XSHG',0.0692
38,汇添富基金管理股份有限公司,王栩 ,'601888.XSHG',0.0394,'601318.XSHG',0.0785,'600519.XSHG',0.03,'600436.XSHG',0.0404,'600036.XSHG',0.0524,'300059.XSHE',0.045,'002044.XSHE',0.0701,'000538.XSHE',0.0481,'000333.XSHE',0.0394,'601888.XSHG',0.036000000000000004
39,南方基金管理股份有限公司,蒋秋洁 ,'601888.XSHG',0.0623,'601766.XSHG',0.0278,'601318.XSHG',0.04190000000000001,'600872.XSHG',0.0452,'600745.XSHG',0.0273,'600699.XSHG',0.0275,'600519.XSHG',0.0329,'300413.XSHE',0.0311,'002027.XSHE',0.0416,'601888.XSHG',0.0325
40,招商基金管理有限公司,李佳存 ,'603939.XSHG',0.04,'603658.XSHG',0.0321,'300725.XSHE',0.034300000000000004,'300630.XSHE',0.031200000000000002,'300595.XSHE',0.0536,'300529.XSHE',0.0968,'300357.XSHE',0.0316,'300347.XSHE',0.08960000000000001,'300122.XSHE',0.042199999999999994,'603939.XSHG',0.1013
41,诺安基金管理有限公司,杨琨 ,'601888.XSHG',0.0345,'601601.XSHG',0.0319,'600588.XSHG',0.08960000000000001,'600438.XSHG',0.0455,'600030.XSHG',0.0866,'300498.XSHE',0.07490000000000001,'300427.XSHE',0.0647,'300282.XSHE',0.058899999999999994,'002567.XSHE',0.0888,'601888.XSHG',0.0928
42,安信基金管理有限责任公司,陈一峰 ,'603808.XSHG',0.0418,'603589.XSHG',0.0728,'601668.XSHG',0.0632,'600612.XSHG',0.0712,'600566.XSHG',0.0507,'600048.XSHG',0.0908,'002508.XSHE',0.0562,'002304.XSHE',0.0727,'000661.XSHE',0.0353,'603808.XSHG',0.056299999999999996
43,景顺长城基金管理有限公司,黎海威 ,'603658.XSHG',0.0172,'000049.XSHE',0.015,'000606.XSHE',0.0175,'000709.XSHE',0.0235,'000716.XSHE',0.0248,'000789.XSHE',0.0269,'002020.XSHE',0.0264,'002092.XSHE',0.026000000000000002,'002696.XSHE',0.0167,'603658.XSHG',0.009399999999999999
44,嘉实基金管理有限公司,曲盛伟 ,'603679.XSHG',0.0391,'601012.XSHG',0.038,'600438.XSHG',0.07440000000000001,'300659.XSHE',0.045,'300546.XSHE',0.0678,'300531.XSHE',0.0255,'300352.XSHE',0.0354,'300212.XSHE',0.0364,'300059.XSHE',0.0559,'603679.XSHG',0.0786
45,工银瑞信基金管理有限公司,杜洋 ,'603678.XSHG',0.0213,'603601.XSHG',0.0195,'601668.XSHG',0.0384,'601222.XSHG',0.0556,'601012.XSHG',0.022799999999999997,'300569.XSHE',0.0196,'300463.XSHE',0.0209,'300274.XSHE',0.0334,'002343.XSHE',0.0397,'603678.XSHG',0.0347
46,中银基金管理有限公司,吴印 ,'603899.XSHG',0.064,'601318.XSHG',0.049699999999999994,'600570.XSHG',0.0678,'300662.XSHE',0.0524,'300633.XSHE',0.051,'300595.XSHE',0.0664,'300454.XSHE',0.0541,'300347.XSHE',0.0513,'002410.XSHE',0.0557,'603899.XSHG',0.053399999999999996
47,工银瑞信基金管理有限公司,何肖颉 ,'601688.XSHG',0.0287,'601601.XSHG',0.0509,'601318.XSHG',0.0464,'600048.XSHG',0.051100000000000007,'600036.XSHG',0.0689,'002142.XSHE',0.0316,'001979.XSHE',0.042199999999999994,'000651.XSHE',0.0373,'000538.XSHE',0.0377,'601688.XSHG',0.038900000000000004
48,上投摩根基金管理有限公司,陈思郁 李德辉 ,'600519.XSHG',0.0286,'600031.XSHG',0.0338,'300760.XSHE',0.029300000000000003,'300498.XSHE',0.0277,'002916.XSHE',0.0305,'002714.XSHE',0.0333,'002475.XSHE',0.035,'002124.XSHE',0.0274,'000858.XSHE',0.029500000000000002,'600519.XSHG',0.047599999999999996
49,前海开源基金管理有限公司,付海宁 ,'603288.XSHG',0.0482,'600872.XSHG',0.0449,'600426.XSHG',0.0387,'600276.XSHG',0.0102,'600201.XSHG',0.0321,'300498.XSHE',0.0739,'300253.XSHE',0.0097,'002812.XSHE',0.0092,'002714.XSHE',0.0736,'603288.XSHG',0.036699999999999997
50,华安基金管理有限公司,翁启森 ,'603605.XSHG',0.0215,'601233.XSHG',0.0161,'300498.XSHE',0.019299999999999998,'300316.XSHE',0.025,'002938.XSHE',0.0172,'002475.XSHE',0.0208,'002202.XSHE',0.0226,'002044.XSHE',0.018500000000000003,'000977.XSHE',0.0268,'603605.XSHG',0.0444
51,嘉实基金管理有限公司,谢泽林 ,'300232.XSHE',0.031400000000000004,'300036.XSHE',0.0278,'002614.XSHE',0.0443,'002439.XSHE',0.0858,'002368.XSHE',0.0346,'002146.XSHE',0.0282,'002139.XSHE',0.028900000000000002,'002024.XSHE',0.030299999999999997,'000547.XSHE',0.0301,'300232.XSHE',0.0264
52,嘉实基金管理有限公司,张淼 ,'601799.XSHG',0.037200000000000004,'600835.XSHG',0.0275,'600529.XSHG',0.0604,'300732.XSHE',0.012,'300271.XSHE',0.0432,'002475.XSHE',0.028300000000000002,'002439.XSHE',0.031,'002430.XSHE',0.0345,'002368.XSHE',0.0275,'601799.XSHG',0.0338
53,新华基金管理股份有限公司,赵强 ,'603338.XSHG',0.0458,'601100.XSHG',0.036699999999999997,'600809.XSHG',0.0418,'600690.XSHG',0.04019999999999999,'600585.XSHG',0.0369,'002372.XSHE',0.0501,'001979.XSHE',0.0382,'000858.XSHE',0.0347,'000568.XSHE',0.0452,'603338.XSHG',0.051100000000000007
54,华夏基金管理有限公司,林晶 王晓李 ,'603885.XSHG',0.0126,'603659.XSHG',0.011699999999999999,'600867.XSHG',0.0102,'600325.XSHG',0.0109,'300451.XSHE',0.0141,'300413.XSHE',0.0116,'300226.XSHE',0.013500000000000002,'002500.XSHE',0.0126,'000961.XSHE',0.0106,'603885.XSHG',0.0105
55,工银瑞信基金管理有限公司,王君正 ,'601318.XSHG',0.04019999999999999,'601155.XSHG',0.0479,'600519.XSHG',0.0368,'600383.XSHG',0.0246,'600030.XSHG',0.024,'002439.XSHE',0.025099999999999997,'002146.XSHE',0.0441,'002142.XSHE',0.0594,'002081.XSHE',0.027200000000000002,'601318.XSHG',0.024700000000000003
56,嘉实基金管理有限公司,谭丽 ,'603866.XSHG',0.051399999999999994,'603728.XSHG',0.0102,'603345.XSHG',0.08,'603096.XSHG',0.0727,'601633.XSHG',0.0455,'600519.XSHG',0.0687,'600036.XSHG',0.0463,'002032.XSHE',0.0768,'000963.XSHE',0.0483,'603866.XSHG',0.0742
57,光大保德信基金管理有限公司,董伟炜 ,'601888.XSHG',0.0263,'601288.XSHG',0.0368,'600606.XSHG',0.037200000000000004,'600325.XSHG',0.0348,'600050.XSHG',0.0388,'600048.XSHG',0.0323,'600030.XSHG',0.036699999999999997,'002415.XSHE',0.0346,'000915.XSHE',0.031400000000000004,'601888.XSHG',0.027000000000000003
58,富国基金管理有限公司,魏伟 ,'601318.XSHG',0.04019999999999999,'600900.XSHG',0.0512,'600548.XSHG',0.0342,'600036.XSHG',0.0565,'600031.XSHG',0.0556,'002142.XSHE',0.059000000000000004,'002127.XSHE',0.07339999999999999,'002120.XSHE',0.0818,'000338.XSHE',0.055099999999999996,'601318.XSHG',0.048
59,汇添富基金管理股份有限公司,吴振翔 许一尊 ,'603658.XSHG',0.02,'603339.XSHG',0.0048,'600859.XSHG',0.016,'600160.XSHG',0.017,'002916.XSHE',0.018000000000000002,'002563.XSHE',0.0182,'002353.XSHE',0.0147,'002299.XSHE',0.0151,'000858.XSHE',0.0163,'603658.XSHG',0.0158
60,工银瑞信基金管理有限公司,鄢耀 ,'601318.XSHG',0.0666,'600519.XSHG',0.0248,'600048.XSHG',0.0425,'600030.XSHG',0.042800000000000005,'300498.XSHE',0.0351,'002415.XSHE',0.032799999999999996,'002410.XSHE',0.025699999999999997,'002142.XSHE',0.09789999999999999,'000858.XSHE',0.0233,'601318.XSHG',0.0663
61,建信基金管理有限责任公司,邵卓 ,'603026.XSHG',0.0334,'601222.XSHG',0.035,'600352.XSHG',0.0907,'600038.XSHG',0.0326,'300628.XSHE',0.048499999999999995,'002127.XSHE',0.046,'002123.XSHE',0.0576,'000961.XSHE',0.042199999999999994,'000858.XSHE',0.0345,'603026.XSHG',0.0733
62,华安基金管理有限公司,李欣 ,'300760.XSHE',0.0245,'300681.XSHE',0.024,'300578.XSHE',0.0282,'002475.XSHE',0.037599999999999995,'002415.XSHE',0.0252,'002236.XSHE',0.0239,'000977.XSHE',0.0252,'000951.XSHE',0.022000000000000002,'000401.XSHE',0.0246,'300760.XSHE',0.059500000000000004
63,华泰柏瑞基金管理有限公司,方伦煜 ,'601881.XSHG',0.030299999999999997,'601318.XSHG',0.0345,'600837.XSHG',0.0232,'600340.XSHG',0.0347,'600048.XSHG',0.025,'600030.XSHG',0.0362,'300498.XSHE',0.0554,'300059.XSHE',0.0258,'000932.XSHE',0.0233,'601881.XSHG',0.021400000000000002
64,华安基金管理有限公司,谢昌旭 谢振东 ,'601318.XSHG',0.0732,'600519.XSHG',0.0736,'600276.XSHG',0.045700000000000005,'600036.XSHG',0.0327,'300015.XSHE',0.0373,'002714.XSHE',0.036699999999999997,'002475.XSHE',0.0452,'002415.XSHE',0.0391,'000858.XSHE',0.028999999999999998,'601318.XSHG',0.0479
65,信达澳银基金管理有限公司,冯士祯 王咏辉 ,'600872.XSHG',0.0461,'300601.XSHE',0.0347,'300498.XSHE',0.0351,'300144.XSHE',0.0418,'002916.XSHE',0.031400000000000004,'002583.XSHE',0.0326,'002044.XSHE',0.0301,'000858.XSHE',0.0308,'000661.XSHE',0.0599,'600872.XSHG',0.0415
66,上投摩根基金管理有限公司,李德辉 ,'600309.XSHG',0.033,'600276.XSHG',0.03,'600031.XSHG',0.066,'300760.XSHE',0.047,'300616.XSHE',0.0291,'300498.XSHE',0.0298,'300014.XSHE',0.0291,'002508.XSHE',0.0302,'002179.XSHE',0.0288,'600309.XSHG',0.03
67,工银瑞信基金管理有限公司,陈小鹭 张剑峰 ,'603505.XSHG',0.0195,'601766.XSHG',0.030299999999999997,'601012.XSHG',0.0359,'600406.XSHG',0.0384,'600352.XSHG',0.0313,'600346.XSHG',0.0269,'600309.XSHG',0.0639,'002202.XSHE',0.027000000000000003,'002157.XSHE',0.0339,'603505.XSHG',0.0288
68,银华基金管理股份有限公司,薄官辉 ,'603589.XSHG',0.042800000000000005,'600887.XSHG',0.051399999999999994,'600809.XSHG',0.049400000000000006,'600702.XSHG',0.042699999999999995,'300498.XSHE',0.049800000000000004,'300146.XSHE',0.0401,'002304.XSHE',0.0556,'000858.XSHE',0.0604,'000596.XSHE',0.053899999999999997,'603589.XSHG',0.0451
69,建信基金管理有限责任公司,姜锋 ,'601877.XSHG',0.050300000000000004,'601222.XSHG',0.0409,'600900.XSHG',0.0646,'600886.XSHG',0.0329,'600674.XSHG',0.030299999999999997,'600406.XSHG',0.0297,'600388.XSHG',0.0329,'300285.XSHE',0.0349,'002202.XSHE',0.044199999999999996,'601877.XSHG',0.0579
70,金鹰基金管理有限公司,樊勇 乔春 ,'603899.XSHG',0.0358,'603605.XSHG',0.0361,'601799.XSHG',0.0337,'300529.XSHE',0.0331,'300347.XSHE',0.0363,'300047.XSHE',0.0326,'002821.XSHE',0.0351,'002563.XSHE',0.0364,'002410.XSHE',0.0329,'603899.XSHG',0.0397
71,工银瑞信基金管理有限公司,赵蓓 ,'600276.XSHG',0.09849999999999999,'300760.XSHE',0.0547,'300482.XSHE',0.0424,'300463.XSHE',0.041100000000000005,'300003.XSHE',0.0971,'002410.XSHE',0.030299999999999997,'002230.XSHE',0.0443,'002157.XSHE',0.0332,'002044.XSHE',0.0454,'600276.XSHG',0.0645
72,前海开源基金管理有限公司,邱杰 ,'603444.XSHG',0.0594,'601688.XSHG',0.053,'600703.XSHG',0.0599,'600383.XSHG',0.0452,'600048.XSHG',0.053200000000000004,'300628.XSHE',0.0435,'300033.XSHE',0.050199999999999995,'002812.XSHE',0.044800000000000006,'002174.XSHE',0.0576,'603444.XSHG',0.0473
73,富国基金管理有限公司,林庆 ,'603833.XSHG',0.0384,'600887.XSHG',0.0506,'300207.XSHE',0.07339999999999999,'002419.XSHE',0.0564,'002223.XSHE',0.0471,'002215.XSHE',0.0435,'002182.XSHE',0.031400000000000004,'002024.XSHE',0.0819,'002001.XSHE',0.0616,'603833.XSHG',0.0329
74,鹏华基金管理有限公司,伍旋 ,'603816.XSHG',0.037599999999999995,'603711.XSHG',0.030899999999999997,'603444.XSHG',0.0371,'601988.XSHG',0.06280000000000001,'601336.XSHG',0.05,'601166.XSHG',0.038599999999999995,'600519.XSHG',0.042199999999999994,'300232.XSHE',0.0724,'002838.XSHE',0.022000000000000002,'603816.XSHG',0.049
75,中金基金管理有限公司,于_ ,'600887.XSHG',0.0319,'600729.XSHG',0.0254,'600519.XSHG',0.07139999999999999,'600276.XSHG',0.032,'600085.XSHG',0.049800000000000004,'002624.XSHE',0.024900000000000002,'002422.XSHE',0.023799999999999998,'000858.XSHE',0.0281,'000651.XSHE',0.048799999999999996,'600887.XSHG',0.0658
76,工银瑞信基金管理有限公司,杨柯 ,'300498.XSHE',0.0975,'002746.XSHE',0.0388,'002714.XSHE',0.0425,'002458.XSHE',0.0393,'002311.XSHE',0.0536,'002234.XSHE',0.026600000000000002,'002157.XSHE',0.0455,'002124.XSHE',0.0313,'000895.XSHE',0.0693,'300498.XSHE',0.0431
77,诺安基金管理有限公司,蔡宇滨 ,'603156.XSHG',0.0591,'601336.XSHG',0.020499999999999997,'601288.XSHG',0.0415,'600887.XSHG',0.0775,'600705.XSHG',0.0256,'600519.XSHG',0.022099999999999998,'600377.XSHG',0.022400000000000003,'600332.XSHG',0.0321,'300144.XSHE',0.0256,'603156.XSHG',0.0218
78,鹏华基金管理有限公司,伍旋 谢书英 ,'600637.XSHG',0.0348,'600136.XSHG',0.0401,'300413.XSHE',0.0383,'300232.XSHE',0.038599999999999995,'300144.XSHE',0.0391,'300059.XSHE',0.0559,'300043.XSHE',0.055999999999999994,'002624.XSHE',0.08349999999999999,'002419.XSHE',0.039599999999999996,'600637.XSHG',0.07139999999999999
79,鹏华基金管理有限公司,金笑非 ,'603259.XSHG',0.0382,'600771.XSHG',0.0742,'600566.XSHG',0.0795,'600436.XSHG',0.0708,'600276.XSHG',0.0967,'300760.XSHE',0.08560000000000001,'300651.XSHE',0.0977,'300122.XSHE',0.0501,'300015.XSHE',0.0391,'603259.XSHG',0.10279999999999999
